seconds,TR,block_trial,condition
1,1,1,drop
2,1,2,drop
3,1,3,drop
4,2,4,drop
5,2,5,drop
6,2,6,drop
7,3,7,Words
8,3,8,Words
9,3,9,Words
10,4,10,Words
11,4,11,Words
12,4,12,Words
13,5,13,Words
14,5,14,Words
15,5,15,Words
16,6,16,Words
17,6,1,Words
18,6,2,Words
19,7,3,Words
20,7,4,Words
21,7,5,Words
22,8,6,Words
23,8,7,WordsScramb
24,8,8,WordsScramb
25,9,9,WordsScramb
26,9,10,WordsScramb
27,9,11,WordsScramb
28,10,12,WordsScramb
29,10,13,WordsScramb
30,10,14,WordsScramb
31,11,15,WordsScramb
32,11,16,WordsScramb
33,11,1,WordsScramb
34,12,2,WordsScramb
35,12,3,WordsScramb
36,12,4,WordsScramb
37,13,5,WordsScramb
38,13,6,WordsScramb
39,13,7,Objects
40,14,8,Objects
41,14,9,Objects
42,14,10,Objects
43,15,11,Objects
44,15,12,Objects
45,15,13,Objects
46,16,14,Objects
47,16,15,Objects
48,16,16,Objects
49,17,1,Objects
50,17,2,Objects
51,17,3,Objects
52,18,4,Objects
53,18,5,Objects
54,18,6,Objects
55,19,7,ObjectsScramb
56,19,8,ObjectsScramb
57,19,9,ObjectsScramb
58,20,10,ObjectsScramb
59,20,11,ObjectsScramb
60,20,12,ObjectsScramb
61,20,13,ObjectsScramb
62,21,14,ObjectsScramb
63,21,15,ObjectsScramb
64,21,16,ObjectsScramb
65,22,1,ObjectsScramb
66,22,2,ObjectsScramb
67,22,3,ObjectsScramb
68,23,4,ObjectsScramb
69,23,5,ObjectsScramb
70,23,6,ObjectsScramb
71,24,7,FIXATION
72,24,8,FIXATION
73,24,9,FIXATION
74,25,10,FIXATION
75,25,11,FIXATION
76,25,12,FIXATION
77,26,13,FIXATION
78,26,14,FIXATION
79,26,15,FIXATION
80,27,16,FIXATION
81,27,1,FIXATION
82,27,2,FIXATION
83,28,3,FIXATION
84,28,4,FIXATION
85,28,5,FIXATION
86,29,6,FIXATION
87,29,7,Objects
88,29,8,Objects
89,30,9,Objects
90,30,10,Objects
91,30,11,Objects
92,31,12,Objects
93,31,13,Objects
94,31,14,Objects
95,32,15,Objects
96,32,16,Objects
97,32,1,Objects
98,33,2,Objects
99,33,3,Objects
100,33,4,Objects
101,34,5,Objects
102,34,6,Objects
103,34,7,Words
104,35,8,Words
105,35,9,Words
106,35,10,Words
107,36,11,Words
108,36,12,Words
109,36,13,Words
110,37,14,Words
111,37,15,Words
112,37,16,Words
113,38,1,Words
114,38,2,Words
115,38,3,Words
116,39,4,Words
117,39,5,Words
118,39,6,Words
119,40,7,ObjectsScramb
120,40,8,ObjectsScramb
121,40,9,ObjectsScramb
122,41,10,ObjectsScramb
123,41,11,ObjectsScramb
124,41,12,ObjectsScramb
125,42,13,ObjectsScramb
126,42,14,ObjectsScramb
127,42,15,ObjectsScramb
128,43,16,ObjectsScramb
129,43,1,ObjectsScramb
130,43,2,ObjectsScramb
131,44,3,ObjectsScramb
132,44,4,ObjectsScramb
133,44,5,ObjectsScramb
134,45,6,ObjectsScramb
135,45,7,WordsScramb
136,45,8,WordsScramb
137,46,9,WordsScramb
138,46,10,WordsScramb
139,46,11,WordsScramb
140,47,12,WordsScramb
141,47,13,WordsScramb
142,47,14,WordsScramb
143,48,15,WordsScramb
144,48,16,WordsScramb
145,48,1,WordsScramb
146,49,2,WordsScramb
147,49,3,WordsScramb
148,49,4,WordsScramb
149,50,5,WordsScramb
150,50,6,WordsScramb
151,50,7,FIXATION
152,51,8,FIXATION
153,51,9,FIXATION
154,51,10,FIXATION
155,52,11,FIXATION
156,52,12,FIXATION
157,52,13,FIXATION
158,53,14,FIXATION
159,53,15,FIXATION
160,53,16,FIXATION
161,54,1,FIXATION
162,54,2,FIXATION
163,54,3,FIXATION
164,55,4,FIXATION
165,55,5,FIXATION
166,55,6,FIXATION
167,56,7,ObjectsScramb
168,56,8,ObjectsScramb
169,56,9,ObjectsScramb
170,57,10,ObjectsScramb
171,57,11,ObjectsScramb
172,57,12,ObjectsScramb
173,58,13,ObjectsScramb
174,58,14,ObjectsScramb
175,58,15,ObjectsScramb
176,59,16,ObjectsScramb
177,59,1,ObjectsScramb
178,59,2,ObjectsScramb
179,60,3,ObjectsScramb
180,60,4,ObjectsScramb
181,60,5,ObjectsScramb
182,61,6,ObjectsScramb
183,61,7,Objects
184,61,8,Objects
185,62,9,Objects
186,62,10,Objects
187,62,11,Objects
188,63,12,Objects
189,63,13,Objects
190,63,14,Objects
191,64,15,Objects
192,64,16,Objects
193,64,1,Objects
194,65,2,Objects
195,65,3,Objects
196,65,4,Objects
197,66,5,Objects
198,66,6,Objects
199,66,7,WordsScramb
200,67,8,WordsScramb
201,67,9,WordsScramb
202,67,10,WordsScramb
203,68,11,WordsScramb
204,68,12,WordsScramb
205,68,13,WordsScramb
206,69,14,WordsScramb
207,69,15,WordsScramb
208,69,16,WordsScramb
209,70,1,WordsScramb
210,70,2,WordsScramb
211,70,3,WordsScramb
212,71,4,WordsScramb
213,71,5,WordsScramb
214,71,6,WordsScramb
215,72,7,Words
216,72,8,Words
217,72,9,Words
218,73,10,Words
219,73,11,Words
220,73,12,Words
221,74,13,Words
222,74,14,Words
223,74,15,Words
224,75,16,Words
225,75,1,Words
226,75,2,Words
227,76,3,Words
228,76,4,Words
229,76,5,Words
230,77,6,Words
231,77,7,FIXATION
232,77,8,FIXATION
233,78,9,FIXATION
234,78,10,FIXATION
235,78,11,FIXATION
236,79,12,FIXATION
237,79,13,FIXATION
238,79,14,FIXATION
239,80,15,FIXATION
240,80,16,FIXATION
241,80,1,FIXATION
242,81,2,FIXATION
243,81,3,FIXATION
244,81,4,FIXATION
245,82,5,FIXATION
246,82,6,FIXATION
247,82,7,WordsScramb
248,83,8,WordsScramb
249,83,9,WordsScramb
250,83,10,WordsScramb
251,84,11,WordsScramb
252,84,12,WordsScramb
253,84,13,WordsScramb
254,85,14,WordsScramb
255,85,15,WordsScramb
256,85,16,WordsScramb
257,86,1,WordsScramb
258,86,2,WordsScramb
259,86,3,WordsScramb
260,87,4,WordsScramb
261,87,5,WordsScramb
262,87,6,WordsScramb
263,88,7,ObjectsScramb
264,88,8,ObjectsScramb
265,88,9,ObjectsScramb
266,89,10,ObjectsScramb
267,89,11,ObjectsScramb
268,89,12,ObjectsScramb
269,90,13,ObjectsScramb
270,90,14,ObjectsScramb
271,90,15,ObjectsScramb
272,90,16,ObjectsScramb
273,91,1,ObjectsScramb
274,91,2,ObjectsScramb
275,91,3,ObjectsScramb
276,92,4,ObjectsScramb
277,92,5,ObjectsScramb
278,92,6,ObjectsScramb
279,93,7,Words
280,93,8,Words
281,93,9,Words
282,94,10,Words
283,94,11,Words
284,94,12,Words
285,95,13,Words
286,95,14,Words
287,95,15,Words
288,96,16,Words
289,96,1,Words
290,96,2,Words
291,97,3,Words
292,97,4,Words
293,97,5,Words
294,98,6,Words
295,98,7,Objects
296,98,8,Objects
297,99,9,Objects
298,99,10,Objects
299,99,11,Objects
300,101,12,Objects
301,101,13,Objects
302,101,14,Objects
303,102,15,Objects
304,102,16,Objects
305,102,1,Objects
306,103,2,Objects
307,103,3,Objects
308,103,4,Objects
309,104,5,Objects
310,104,6,Objects
311,104,7,FIXATION
312,105,8,FIXATION
313,105,9,FIXATION
314,105,10,FIXATION
315,106,11,FIXATION
316,106,12,FIXATION
317,106,13,FIXATION
318,107,14,FIXATION
319,107,15,FIXATION
320,107,16,FIXATION
321,108,1,FIXATION
322,108,2,FIXATION
323,108,3,FIXATION
324,109,4,FIXATION
325,109,5,FIXATION
326,109,6,FIXATION
327,110,7,Words
328,110,8,Words
329,110,9,Words
330,111,10,Words
331,111,11,Words
332,111,12,Words
333,112,13,Words
334,112,14,Words
335,112,15,Words
336,113,16,Words
337,113,1,Words
338,113,2,Words
339,114,3,Words
340,114,4,Words
341,114,5,Words
342,115,6,Words
343,115,7,Objects
344,115,8,Objects
345,116,9,Objects
346,116,10,Objects
347,116,11,Objects
348,117,12,Objects
349,117,13,Objects
350,117,14,Objects
351,118,15,Objects
352,118,16,Objects
353,118,1,Objects
354,119,2,Objects
355,119,3,Objects
356,119,4,Objects
357,120,5,Objects
358,120,6,Objects
359,120,7,WordsScramb
360,120,8,WordsScramb
361,121,9,WordsScramb
362,121,10,WordsScramb
363,121,11,WordsScramb
364,122,12,WordsScramb
365,122,13,WordsScramb
366,122,14,WordsScramb
367,123,15,WordsScramb
368,123,16,WordsScramb
369,123,1,WordsScramb
370,124,2,WordsScramb
371,124,3,WordsScramb
372,124,4,WordsScramb
373,125,5,WordsScramb
374,125,6,WordsScramb
375,125,7,ObjectsScramb
376,126,8,ObjectsScramb
377,126,9,ObjectsScramb
378,126,10,ObjectsScramb
379,127,11,ObjectsScramb
380,127,12,ObjectsScramb
381,127,13,ObjectsScramb
382,128,14,ObjectsScramb
383,128,15,ObjectsScramb
384,128,16,ObjectsScramb
385,129,1,ObjectsScramb
386,129,2,ObjectsScramb
387,129,3,ObjectsScramb
388,130,4,ObjectsScramb
389,130,5,ObjectsScramb
390,130,6,ObjectsScramb
391,131,7,FIXATION
392,131,8,FIXATION
393,131,9,FIXATION
394,132,10,FIXATION
395,132,11,FIXATION
396,132,12,FIXATION
397,133,13,FIXATION
398,133,14,FIXATION
399,133,15,FIXATION
400,134,16,FIXATION
401,134,1,FIXATION
402,134,2,FIXATION
403,135,3,FIXATION
404,135,4,FIXATION
405,135,5,FIXATION
406,136,6,FIXATION
407,136,7,ObjectsScramb
408,136,8,ObjectsScramb
409,137,9,ObjectsScramb
410,137,10,ObjectsScramb
411,137,11,ObjectsScramb
412,138,12,ObjectsScramb
413,138,13,ObjectsScramb
414,138,14,ObjectsScramb
415,139,15,ObjectsScramb
416,139,16,ObjectsScramb
417,139,1,ObjectsScramb
418,140,2,ObjectsScramb
419,140,3,ObjectsScramb
420,140,4,ObjectsScramb
421,141,5,ObjectsScramb
422,141,6,ObjectsScramb
423,141,7,Words
424,142,8,Words
425,142,9,Words
426,142,10,Words
427,143,11,Words
428,143,12,Words
429,143,13,Words
430,144,14,Words
431,144,15,Words
432,144,16,Words
433,145,1,Words
434,145,2,Words
435,145,3,Words
436,146,4,Words
437,146,5,Words
438,146,6,Words
439,147,7,WordsScramb
440,147,8,WordsScramb
441,147,9,WordsScramb
442,148,10,WordsScramb
443,148,11,WordsScramb
444,148,12,WordsScramb
445,149,13,WordsScramb
446,149,14,WordsScramb
447,149,15,WordsScramb
448,150,16,WordsScramb
449,150,1,WordsScramb
450,150,2,WordsScramb
451,151,3,WordsScramb
452,151,4,WordsScramb
453,151,5,WordsScramb
454,152,6,WordsScramb
455,152,7,Objects
456,152,8,Objects
457,153,9,Objects
458,153,10,Objects
459,153,11,Objects
460,154,12,Objects
461,154,13,Objects
462,154,14,Objects
463,155,15,Objects
464,155,16,Objects
465,155,1,Objects
466,156,2,Objects
467,156,3,Objects
468,156,4,Objects
469,157,5,Objects
470,157,6,Objects
471,157,7,FIXATION
472,158,8,FIXATION
473,158,9,FIXATION
474,158,10,FIXATION
475,159,11,FIXATION
476,159,12,FIXATION
477,159,13,FIXATION
478,160,14,FIXATION
479,160,15,FIXATION
480,160,16,FIXATION
481,161,1,FIXATION
482,161,2,FIXATION
483,161,3,FIXATION
484,162,4,FIXATION
485,162,5,FIXATION
486,162,6,FIXATION
487,163,7,drop
488,163,8,drop
489,163,9,drop
490,164,10,drop
491,164,11,drop
492,164,12,drop
